order,page,route,title,component,source_file,source_bytes,source_exists,image_signals,media_signals,interaction_signals,narrative_signals,gift_signals,shared_template,design_tokens,source_fingerprint,thin_candidate,broken_candidate,note,memory,compliment,gift,message,surprise
"1","001","/","Samjhana’s Birthday Door from Abu","HomePage","src/pages/HomePage.jsx + src/data/personalVoice.js + src/data/roomSequence.js","17148","true","0","0","8","228","36","page-specific source","from-rose-200 via-orange-100 to-amber-100 from-sky-200 via-indigo-100 to-violet-100 from-emerald-200 via-teal-100 to-cyan-100 bg-[ text-[ bg-[radial-gradient","d79d0a63d5","NO","NO","Samjhana’s Birthday Door from Abu uses HomePage. Memory: Chau-Chau, Panipuri, momo, and the foods that became our language. Gift: a private letter from Abu. Voice: Samjhana, my Fuchee, Abu made the Abu’s birthday doorway room around Chau-Chau, Panipuri, momo, and the foods that became our language. This is a remi.","Chau-Chau, Panipuri, momo, and the foods that became our language","Your kindness is one of the reasons Abu keeps choosing you.","a private letter from Abu","Samjhana, my Fuchee, Abu made the Abu’s birthday doorway room around Chau-Chau, Panipuri, momo, and the foods that became our language. This is a remi","Open this when you miss Abu. Your kindness is one of the reasons Abu keeps choosing you. This page is Abu’s a promise folded into a keepsake card for "
"2","002","/gallery","The Faces Abu Keeps Close","GalleryPage","src/pages/GalleryPage.jsx + src/components/GallerySection.jsx + src/data/allMediaData.js + src/utils/mediaUtils.js + src/data/complimentsData.js + src/data/couplePhotosData.js + src/hooks/useDeviceGyro.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/assetHelper.js","54447","true","24","46","79","192","67","GallerySection","bg-gradient-to-b from-[ via-[ to-[ text-center rounded-full bg-pink-100 border-pink-200 text-rose-600 text-xs font-bold shadow-sm","1266a9fef3","NO","NO","The Faces Abu Keeps Close uses GalleryPage. Memory: the day “Abhay” became “Abu” because you made it yours. Gift: a tiny memory ticket from Nepalgunj. Voice: Samjhana, my Bebo, Abu made the Gallery room around the day “Abhay” became “Abu” because you made it yours. A small surprise: Abu remembers more than .","the day “Abhay” became “Abu” because you made it yours","You are the person behind every name Abu says with a softer voice.","a tiny memory ticket from Nepalgunj","Samjhana, my Bebo, Abu made the Gallery room around the day “Abhay” became “Abu” because you made it yours. A small surprise: Abu remembers more than ","Keep this for the next time distance feels loud. You are the person behind every name Abu says with a softer voice. This page is Abu’s a voice-note mo"
"3","003","/video","Samjhana in Motion","VideoPage","src/pages/VideoPage.jsx","4014","true","0","2","7","26","4","page-specific source","to-Osaka bg-[ text-[ border-b border-white/10 text-xs font-bold text-white/55 text-white text-amber-200/75 text-amber-200/70 text-6xl","24be3744e8","NO","NO","Samjhana in Motion uses VideoPage. Memory: the dream of Pokhara, Manang, and Mustang waiting for us. Gift: a promise folded into a keepsake card. Voice: Samjhana, my Samjhana, Abu made the Video room around the dream of Pokhara, Manang, and Mustang waiting for us. This page is a soft place to land when.","the dream of Pokhara, Manang, and Mustang waiting for us","You are beautiful in the moments you never think to pose for.","a promise folded into a keepsake card","Samjhana, my Samjhana, Abu made the Video room around the dream of Pokhara, Manang, and Mustang waiting for us. This page is a soft place to land when","A small surprise: Abu remembers more than he says. You are beautiful in the moments you never think to pose for. This page is Abu’s a compliment saved"
"4","004","/letter","A Letter from Abu","LetterPage","src/pages/LetterPage.jsx + src/components/LetterSection.jsx + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js","98313","true","9","30","52","651","148","LetterSection","bg-gradient-to-b from-[ via-[ to-[ text-emerald-100 text-center rounded-full bg-emerald-500/20 text-emerald-300 border-emerald-400/30 text-xs font-bold","f7e8fa18ec","NO","NO","A Letter from Abu uses LetterPage. Memory: the dream of Pokhara, Manang, and Mustang waiting for us. Gift: a tiny memory ticket from Nepalgunj. Voice: Samjhana, my Babe, Abu made the Letter room around the dream of Pokhara, Manang, and Mustang waiting for us. A small surprise: Abu remembers more than.","the dream of Pokhara, Manang, and Mustang waiting for us","You are beautiful in the moments you never think to pose for.","a tiny memory ticket from Nepalgunj","Samjhana, my Babe, Abu made the Letter room around the dream of Pokhara, Manang, and Mustang waiting for us. A small surprise: Abu remembers more than","Keep this for the next time distance feels loud. You are beautiful in the moments you never think to pose for. This page is Abu’s a voice-note moment "
"5","005","/bouquet","A Bouquet of Words for Bhuntu","BouquetPage","src/pages/BouquetPage.jsx + src/components/BouquetSection.jsx + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js","101200","true","13","34","59","631","151","BouquetSection","bg-gradient-to-b from-[ via-[ to-[ text-center rounded-full bg-pink-100 border-pink-200 text-rose-600 text-xs font-bold shadow-sm","9a804e7f83","NO","NO","A Bouquet of Words for Bhuntu uses BouquetPage. Memory: the day “Abhay” became “Abu” because you made it yours. Gift: a promise folded into a keepsake card. Voice: Samjhana, my Sanzu, Abu made the Bouquet room around the day “Abhay” became “Abu” because you made it yours. This page is a soft place to land when yo.","the day “Abhay” became “Abu” because you made it yours","You are the person behind every name Abu says with a softer voice.","a promise folded into a keepsake card","Samjhana, my Sanzu, Abu made the Bouquet room around the day “Abhay” became “Abu” because you made it yours. This page is a soft place to land when yo","A small surprise: Abu remembers more than he says. You are the person behind every name Abu says with a softer voice. This page is Abu’s a compliment "
"6","006","/distance","Nepalgunj to Sakai, Osaka","DistancePage","src/pages/DistancePage.jsx + src/components/NepalgunjToOsakaFlightSim.jsx + src/components/WorldShell.jsx + src/themes.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/mediaUtils.js + src/utils/whatsappHelper.js","57803","true","7","27","54","178","37","NepalgunjToOsakaFlightSim","text-sky-400 text-center font-ui rounded-3xl bg-slate-950 border-4 border-sky-500/80 shadow-[0_0_50px_rgba text-xs font-mono font-bold text-sky-300","5faa25fc8d","NO","NO","Nepalgunj to Sakai, Osaka uses DistancePage. Memory: the dream of Pokhara, Manang, and Mustang waiting for us. Gift: a tiny memory ticket from Nepalgunj. Voice: Samjhana, my Bebo, Abu made the Distance room around the dream of Pokhara, Manang, and Mustang waiting for us. A small surprise: Abu remembers more th.","the dream of Pokhara, Manang, and Mustang waiting for us","You are beautiful in the moments you never think to pose for.","a tiny memory ticket from Nepalgunj","Samjhana, my Bebo, Abu made the Distance room around the dream of Pokhara, Manang, and Mustang waiting for us. A small surprise: Abu remembers more th","Keep this for the next time distance feels loud. You are beautiful in the moments you never think to pose for. This page is Abu’s a voice-note moment "
"7","007","/surprise","The Surprise Abu Hid for You","SurprisePage","src/pages/SurprisePage.jsx + src/components/FinaleSection.jsx + src/3d/GiftBox3D.jsx + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/components/WebGLErrorBoundary.jsx + src/components/InteractiveCake.jsx + src/data/birthdayData.js + src/utils/mediaUtils.js","108979","true","9","30","65","633","175","FinaleSection + AudioController","bg-gradient-to-b from-[ via-[ to-[ text-pink-300 text-rose-400 text-center rounded-full bg-white/80 border-pink-200 shadow-md text-xs","1dd14a7aef","NO","NO","The Surprise Abu Hid for You uses SurprisePage. Memory: dropping you at the Language Institute before Japan. Gift: a tiny memory ticket from Nepalgunj. Voice: Samjhana, my Babe, Abu made the Surprise room around dropping you at the Language Institute before Japan. A small surprise: Abu remembers more than he.","dropping you at the Language Institute before Japan","Your moods, your laugh, your quiet, and your Bhoot moments all belong to the girl Abu loves.","a tiny memory ticket from Nepalgunj","Samjhana, my Babe, Abu made the Surprise room around dropping you at the Language Institute before Japan. A small surprise: Abu remembers more than he","Keep this for the next time distance feels loud. Your moods, your laugh, your quiet, and your Bhoot moments all belong to the girl Abu loves. This pag"
"8","008","/quiz","The One Game Abu Made for Samjhana","QuizPage","src/pages/QuizPage.jsx","5391","true","0","0","10","30","3","page-specific source","bg-[ text-white text-xs font-bold text-cyan-300 text-sm text-white/40 text-6xl font-black text-8xl text-lg text-white/55","c7b97d67a9","NO","NO","The One Game Abu Made for Samjhana uses QuizPage. Memory: the day “Abhay” became “Abu” because you made it yours. Gift: a tiny memory ticket from Nepalgunj. Voice: Samjhana, my Sanu, Abu made the Quiz room around the day “Abhay” became “Abu” because you made it yours. A small surprise: Abu remembers more than he .","the day “Abhay” became “Abu” because you made it yours","You are the person behind every name Abu says with a softer voice.","a tiny memory ticket from Nepalgunj","Samjhana, my Sanu, Abu made the Quiz room around the day “Abhay” became “Abu” because you made it yours. A small surprise: Abu remembers more than he ","Keep this for the next time distance feels loud. You are the person behind every name Abu says with a softer voice. This page is Abu’s a voice-note mo"
"9","009","/stars","The Sky Map Abu Keeps for You","StarsPage","src/pages/StarsPage.jsx + src/utils/mediaUtils.js + src/data/pageGiftData.js + src/data/pageNames.js","321583","true","13","33","6","5953","2304","page-specific source","bg-[ text-[ text-sky-200 text-xs font-black text-6xl text-8xl text-lg text-sky-100/60 rounded-full bg-amber-200 border-sky-100/15","d8e2a9b57c","NO","NO","The Sky Map Abu Keeps for You uses StarsPage. Memory: dropping you at the Language Institute before Japan. Gift: a soft landing place for a difficult day. Voice: Samjhana, my Bhoot, Abu made the Stars room around dropping you at the Language Institute before Japan. Keep this for the next time distance feels lou.","dropping you at the Language Institute before Japan","Your moods, your laugh, your quiet, and your Bhoot moments all belong to the girl Abu loves.","a soft landing place for a difficult day","Samjhana, my Bhoot, Abu made the Stars room around dropping you at the Language Institute before Japan. Keep this for the next time distance feels lou","Read this slowly, Sanu. It was made for your exact heart. Your moods, your laugh, your quiet, and your Bhoot moments all belong to the girl Abu loves."
"10","010","/time-capsule","Open When You Miss Abu","TimeCapsulePage","src/pages/TimeCapsulePage.jsx + src/components/OpenWhenLetters.jsx + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js","97857","true","9","30","58","651","149","OpenWhenLetters","text-center rounded-full bg-rose-100 border-rose-200 text-rose-600 font-bold text-xs shadow-sm text-pink-500 text-2xl text-4xl font-extrabold","d1afb7b906","NO","NO","Open When You Miss Abu uses TimeCapsulePage. Memory: the future light-blue scooter ride toward Bardiya. Gift: a birthday blessing written in Abu’s handwriting. Voice: Samjhana, my Fuchee, Abu made the Time Capsule room around the future light-blue scooter ride toward Bardiya. The gift inside is not expensive; it is .","the future light-blue scooter ride toward Bardiya","Your voice can cross the Nepalgunj-to-Sakai distance faster than any flight.","a birthday blessing written in Abu’s handwriting","Samjhana, my Fuchee, Abu made the Time Capsule room around the future light-blue scooter ride toward Bardiya. The gift inside is not expensive; it is ","This is a reminder that you are loved in the details. Your voice can cross the Nepalgunj-to-Sakai distance faster than any flight. This page is Abu’s "
